level_code,grammar_type,category_type,grammar_detail,content,cases
HSK5,句子成分,状语,,多项状语,"他为了锻炼身体每天早上在公园里跑步。
他昨天晚上一个人在图书馆认真地复习了三个小时。"
HSK5,句子成分,补语,可能补语2,动词+得/不得,"伤害人的玩笑可开不得。
这院是出得还是出不得，得先问问医生的建议。
写论文这件事情急不得，你得多看多想。"
HSK5,句子成分,补语,状态补语2,动词/形容词+得+主谓短语,"他跑得全身是汗，终于按时到了公司。
天气热得大家都不想出门。"
HSK5,句子成分,补语,状态补语2,动词/形容词+得+动词短语,"孩子们玩儿得忘了时间，直到天黑才回家。
面对自己喜欢的明星，他紧张得说不出话。"
HSK5,句子成分,补语,状态补语2,动词/形容词+得+固定短语,"快上课了，他跑得上气不接下气。
为了准备年夜饭，她累得满头大汗。"
HSK5,句子成分,补语,程度补语2,形容词/心理动词+得+不得了,"收到大学的录取通知书，她激动得不得了。
听到父亲被送去急诊的消息，她担心得不得了。"
HSK5,句子成分,补语,趋向补语3,趋向补语的引申用法：表示状态意义：动词/形容词+下来/下去/起来/过来/过去,"听着窗外的雨声，我的心慢慢地平静下来了。
不知道是什么原因，他的声音渐渐低了下去。
该睡觉了，快把你的玩具收拾起来。
在医生们的努力下，病人终于醒过来了。
经过一天的长途旅行，大家都很累，一上车就纷纷睡过去了。"
HSK5,句子的类型,复句,假设复句,一旦……，就……,"一旦养成坏习惯，就很难改变。
孩子一旦发烧，就赶快送去医院。"
HSK5,句子的类型,复句,假设复句,万一……，（就）……,"万一他不配合，我们就要想其他办法。
万一失败了，你考虑过后果吗？"
HSK5,句子的类型,复句,假设复句,假如……，（就）……,"假如他们也同意，我们就按照计划开展工作。
假如有一天你当了校长，你会制定什么规则？"
HSK5,句子的类型,复句,假设复句,……，要不然/不然……,"公司需要敢想敢干的年轻人，要不然就很难有发展。
还好我反应快，不然孩子就摔倒了。"
HSK5,句子的类型,复句,因果复句,……，可见……,"这个项目完成得如此顺利，可见团队的合作非常有效。
他每天都在图书馆学习，可见他对考试非常重视。"
HSK5,句子的类型,复句,因果复句,……，因而……,"她上课坚持认真听讲，因而成绩始终非常优秀。
我和他认识很多年了，因而很了解他的性格。"
HSK5,句子的类型,复句,承接复句,……，便……,"领导还没讲完，他便提前离开了。
他看我心情不好，便陪我聊了半天。
我写完作业便和朋友一起出去玩儿了。"
HSK5,句子的类型,复句,目的复句,……，为的是……,"他每天早起锻炼，为的是保持健康。
她每天都练习中文，为的是将来能够来中国留学。"
HSK5,句子的类型,复句,紧缩复句,不……不……,"不尝不知道，这种水果的味道果然很独特。
毛病虽然不大，但还是应该修理一下，不修不安全。"
HSK5,句子的类型,复句,紧缩复句,再……也……,"这首歌再听多少遍也不会烦。
困难再大也要坚持下去。"
