level_code,level1_topic,level2_topic,topic_item
HSK5,当代社会,中外交流,交往故事、友好访问、国际合作等
HSK5,当代社会,体育,体育名人、体育故事
HSK5,当代社会,体育,体育赛事
HSK5,当代社会,体育,运动项目
HSK5,当代社会,文艺,创作者及其作品
HSK5,当代社会,文艺,文艺常识
HSK5,当代社会,文艺,文艺形式
HSK5,当代社会,文艺,文艺活动
HSK5,当代社会,概况,人口情况
HSK5,当代社会,概况,时代特征
HSK5,当代社会,概况,行政区划
HSK5,当代社会,社会现象,基础设施
HSK5,当代社会,社会现象,新兴事物
HSK5,当代社会,社会现象,民生发展
HSK5,当代社会,社会现象,社会观念
HSK5,当代社会,经济现象,商业活动
HSK5,当代社会,经济现象,经济发展
HSK5,当代社会,经济现象,进出口贸易
HSK5,教育情况,学习情况,学习心得
HSK5,教育情况,学习情况,学习经历
HSK5,教育情况,学习情况,教学情况
HSK5,教育情况,学习情况,课程情况
HSK5,教育情况,教育问题,学校教育、社会教育、职业教育等
HSK5,教育情况,教育问题,家庭教育
HSK5,教育情况,校园生活,学校情况
HSK5,教育情况,校园生活,校园活动
HSK5,文化与传统,人文景观,名胜古迹、传统民居、建筑等
HSK5,文化与传统,传统思想与艺术,传统艺术
HSK5,文化与传统,传统思想与艺术,哲学思想
HSK5,文化与传统,历史,历史人物、历史事件
HSK5,文化与传统,古代科技,古人科学观念、古代科学家事迹
HSK5,文化与传统,古代科技,古代科技成就
HSK5,文化与传统,民俗传统,传统节日与习俗
HSK5,文化与传统,民俗传统,古代生活
HSK5,文化与传统,民俗传统,地方饮食及差异等
HSK5,文化与传统,民俗传统,民间传说
HSK5,文化与传统,语言文字,俗语、成语、名言名句等
HSK5,文化与传统,语言文字,语言现象
HSK5,日常生活,交通出行,交通运输
HSK5,日常生活,交通出行,出行体验
HSK5,日常生活,休闲,休闲活动
HSK5,日常生活,休闲,活动感受、生活随感、人生感悟等
HSK5,日常生活,医疗健康,健康生活
HSK5,日常生活,医疗健康,就医
HSK5,日常生活,医疗健康,心理健康
HSK5,日常生活,家庭生活,家庭活动
HSK5,日常生活,家庭生活,家庭问题
HSK5,日常生活,家庭生活,居家生活
HSK5,日常生活,日常事务,业务办理
HSK5,日常生活,日常事务,困难求助
HSK5,日常生活,社区,居住情况
HSK5,日常生活,社区,社区生活
HSK5,日常生活,社区,社区管理
HSK5,日常生活,购物,商品选购
HSK5,日常生活,购物,消费活动
HSK5,日常生活,饮食,就餐
HSK5,日常生活,饮食,餐饮体验
HSK5,科学技术,科学知识,科普知识
HSK5,科学技术,科学知识,科研成果
HSK5,科学技术,科技发展,产品介绍与应用
HSK5,职场生活,经营与管理,人员管理
HSK5,职场生活,经营与管理,企业发展
HSK5,职场生活,经营与管理,团队合作
HSK5,职场生活,职业与经历,工作内容
HSK5,职场生活,职业与经历,工作经历
HSK5,自然与环境,环境,城市与乡村
HSK5,自然与环境,环境,环境保护
HSK5,自然与环境,环境,生态平衡
HSK5,自然与环境,自然,动植物
HSK5,自然与环境,自然,地形地貌
HSK5,自然与环境,自然,自然现象、自然规律
HSK5,自然与环境,自然,自然资源
