level_code,source_level_name,entry_type_name,sort_order,word,pinyin,part_of_speech
HSK2,一级（二级）,大纲词汇,46,多,duō,形、动、代、（数、副）
HSK2,一级（二级）,大纲词汇,61,给,gěi,动、（介）
HSK2,一级（二级）（四级）,大纲词汇,71,好,hǎo,形、（副）、（动）
HSK2,一级（二级）,大纲词汇,136,那,nà,代、（连）
HSK2,二级,大纲词汇,301,啊,a,助
HSK2,二级,大纲词汇,302,爱好,àihào,动、名
HSK2,二级,大纲词汇,303,白色,báisè,名
HSK2,二级（五级）,大纲词汇,304,班,bān,名、（量）
HSK2,二级,大纲词汇,305,帮,bāng,动
HSK2,二级,大纲词汇,306,帮忙,bāngmáng,动
HSK2,二级,大纲词汇,307,包,bāo,动、名、量
HSK2,二级,大纲词汇,308,本子,běnzi,名
HSK2,二级,大纲词汇,309,比,bǐ,动、介
HSK2,二级（五级）,大纲词汇,310,笔,bǐ,名、（量）
HSK2,二级,大纲词汇,311,别1,bié,副
HSK2,二级,大纲词汇,312,不错,búcuò,形
HSK2,二级,大纲词汇,313,不好意思,bù hǎoyìsi,
HSK2,二级,大纲词汇,314,长,cháng,形
HSK2,二级,大纲词汇,315,车站,chēzhàn,名
HSK2,二级,大纲词汇,316,出,chū,动
HSK2,二级,大纲词汇,317,出国,chūguó,动
HSK2,二级,大纲词汇,318,出来,chūlái,动
HSK2,二级,大纲词汇,319,出门,chūmén,动
HSK2,二级,大纲词汇,320,出去,chūqù,动
HSK2,二级,大纲词汇,321,床,chuáng,名
HSK2,二级,大纲词汇,322,词,cí,名
HSK2,二级（七-九级）,大纲词汇,323,次,cì,量、（形）
HSK2,二级（四级）,大纲词汇,324,从,cóng,介、（副）
HSK2,二级,大纲词汇,325,从小,cóngxiǎo,副
HSK2,二级,大纲词汇,326,错,cuò,形
HSK2,二级,大纲词汇,327,打1,dǎ,动
HSK2,二级,大纲词汇,328,打车,dǎchē,动
HSK2,二级,大纲词汇,329,打开,dǎkāi,动
HSK2,二级（七-九级）,大纲词汇,330,但,dàn,连、（副）
HSK2,二级,大纲词汇,331,但是,dànshì,连
HSK2,二级,大纲词汇,332,得,de,助
HSK2,二级,大纲词汇,333,地,de,助
HSK2,二级（四级）,大纲词汇,334,等1,děng,动、（介）
HSK2,二级,大纲词汇,335,地铁,dìtiě,名
HSK2,二级（四级）,大纲词汇,336,点2,diǎn,动、（名、量）
HSK2,二级,大纲词汇,337,懂,dǒng,动
HSK2,二级,大纲词汇,338,动,dòng,动
HSK2,二级,大纲词汇,339,饭馆,fànguǎn,名
HSK2,二级,大纲词汇,340,飞,fēi,动
HSK2,二级,大纲词汇,341,高,gāo,形、名
HSK2,二级,大纲词汇,342,高中,gāozhōng,名
HSK2,二级,大纲词汇,343,告诉,gàosu,动
HSK2,二级,大纲词汇,344,个子,gèzi,名
HSK2,二级（五级）,大纲词汇,345,跟,gēn,介、连、（名、动）
HSK2,二级,大纲词汇,346,公交车,gōngjiāochē,名
HSK2,二级,大纲词汇,347,过,guò,动
HSK2,二级,大纲词汇,348,过来,guòlái,动
HSK2,二级,大纲词汇,349,过年,guònián,动
HSK2,二级,大纲词汇,350,过去1,guòqù,动
HSK2,二级,大纲词汇,351,过,guo,助
HSK2,二级,大纲词汇,352,还是,háishi,副、连
HSK2,二级,大纲词汇,353,黑色,hēisè,名
HSK2,二级,大纲词汇,354,红茶,hóngchá,名
HSK2,二级,大纲词汇,355,红色,hóngsè,名
HSK2,二级,大纲词汇,356,后面,hòumiàn,名
HSK2,二级,大纲词汇,357,花1,huā,动
HSK2,二级（六级）,大纲词汇,358,花2,huā,名、（形）
HSK2,二级,大纲词汇,359,画,huà,动、名
HSK2,二级,大纲词汇,360,坏,huài,形
HSK2,二级,大纲词汇,361,回来,huílái,动
HSK2,二级,大纲词汇,362,回去,huíqù,动
HSK2,二级,大纲词汇,363,机场,jīchǎng,名
HSK2,二级,大纲词汇,364,机票,jīpiào,名
HSK2,二级,大纲词汇,365,记得,jìde,动
HSK2,二级（四级）,大纲词汇,366,间,jiān,量、（名）
HSK2,二级,大纲词汇,367,教,jiāo,动
HSK2,二级,大纲词汇,368,教室,jiàoshì,名
HSK2,二级,大纲词汇,369,介绍,jièshào,动
HSK2,二级,大纲词汇,370,进,jìn,动
HSK2,二级,大纲词汇,371,近,jìn,形
HSK2,二级,大纲词汇,372,进来,jìnlái,动
HSK2,二级,大纲词汇,373,进去,jìnqù,动
HSK2,二级,大纲词汇,374,经常,jīngcháng,副
HSK2,二级,大纲词汇,375,酒店,jiǔdiàn,名
HSK2,二级（七-九级）,大纲词汇,376,就,jiù,副、（介）
HSK2,二级,大纲词汇,377,咖啡,kāfēi,名
HSK2,二级,大纲词汇,378,开始,kāishǐ,动、名
HSK2,二级,大纲词汇,379,开学,kāixué,动
HSK2,二级,大纲词汇,380,考,kǎo,动
