level_code,grammar_type,category_type,grammar_detail,content,cases
HSK2,动作的态,,持续态,动词+着：表示动作的持续,"他们正吃着饭呢。
教室里正上着课呢。"
HSK2,动作的态,,持续态,动词+着：表示状态的持续,"门开着，你进去吧。
别站着，快请坐。"
HSK2,动作的态,,经历态,用动态助词“过”表示,"你学过中文吗？
我没去过北京。"
HSK2,句子成分,主语,,受事主语,"水果都吃完了。                                               
那本书我看过了。"
HSK2,句子成分,定语,,动词或动词性短语、主谓短语作定语,"那个唱歌的女孩儿是谁？
这就是儿子我学习汉语的学校。
我还不知道电影开始的时间。"
HSK2,句子成分,补语,数量补语2,形容词+数量补语,"坐地铁比坐公交车快一些。
我哥哥比我大两岁。"
HSK2,句子成分,补语,数量补语2,表示动作持续的时间,"我学了两年中文了。
我等了她一个多小时。
他们昨天看了一晚上的电视。"
HSK2,句子成分,补语,状态补语1,动词+得+形容词性短语,"大家玩儿得很高兴。
他篮球打得很好。"
HSK2,句子成分,补语,结果补语1,动词+错/懂/好/会/完,"这个字你写错了。
老师的话你听懂了吗？
衣服已经洗好了。
我学会游泳了。
题太多了，我没做完。"
HSK2,句子成分,补语,趋向补语1,复合趋向补语的趋向意义用法：动词+出来/出去/过来/过去/回来/回去/进来/进去/起来/上来/上去/下来/下去,"车开过来了，大家快上车。
她在那边等着呢，咱们走过去吧。
他从书包里拿出来一本中文书。
妈妈从超市买回来一些水果。
王老师我走进教室来了。
咱们的车能开进学校去吗？
你可以站起来吗？
他们怎么还没有走上来？
你在楼上等我，我给你送上去。
他们从山上走下来了。
这些东西你帮我拿下去吧。"
HSK2,句子成分,补语,趋向补语1,简单趋向补语的趋向意义用法：动词+上/下/进/出/过/回,"飞机飞上天了。
弟弟跑下楼了。
老师走进办公室了。
他从包里拿出一本书。
我们一起走回学校吧。"
HSK2,句子成分,补语,趋向补语1,简单趋向补语的趋向意义用法：动词+来/去,"你上来吧，我在楼上等你。
太晚了，你快回去吧。"
HSK2,句子成分,谓语,,名词性短语作谓语,"她高个子、大眼睛，很漂亮。
王老师上海人，四十多岁。"
HSK2,句子的类型,句型,单句,主谓句4：主谓谓语句,"她个子很高。
这件事我知道。"
HSK2,句子的类型,句类,疑问句,用“还是”连接的选择问句,"是我自己去，还是你跟我一起去？
你喜欢打篮球，还是喜欢踢足球？"
HSK2,句子的类型,句类,祈使句,用“别”的祈使句,"下雨了，别出去了。
别忘了，明天有考试。"
HSK2,句子的类型,复句,因果复句,因为……，所以……,"因为机票太贵了，所以我准备坐火车去。
因为我爸爸在中国工作，所以我来这儿学习中文。"
HSK2,句子的类型,复句,紧缩复句,一……就……,"他一下课就去打篮球了。
我一到商场就想买东西。"
HSK2,句子的类型,复句,转折复句,虽然……，但是……,"虽然学习的时间不长，但是他汉语说得很好。
学汉语虽然难，但是很有意思。"
HSK2,句子的类型,复句,选择复句,（是）……，还是……,"你（是）喝茶，还是喝咖啡？
你（是）喜欢白色的，还是黑色的？"
HSK2,句子的类型,特殊句式,兼语句1,表使令：主语+请/叫/让……+宾语1+动词+宾语2,"妈妈叫我去超市买水果。
我想请老师教我中文。
老师让我们介绍一下自己的爱好。"
HSK2,句子的类型,特殊句式,双宾语句2,主语+动词+给+宾语1+宾语2,"爸爸送给我一个新手机。
他卖给我一本中文书。"
HSK2,句子的类型,特殊句式,存现句2,处所+动词+着(+数量短语)+名词,"门口站着一个人。
教室里坐着十几个学生。"
HSK2,句子的类型,特殊句式,“是”字句2,表示说明或特征,"那件衣服是新的。
这个手机是坏的，不能用。"
HSK2,句子的类型,特殊句式,“是……的”句1,强调时间、地点、方式、动作者,"我是去年九月来中国的。
我们是在北京认识的。
他们是坐飞机去上海的。
今天的晚饭是我做的。"
HSK2,句子的类型,特殊句式,“有”字句2,表示达到,"王老师有三十岁吗？
这些水果有一百块钱吗？"
HSK2,句子的类型,特殊句式,比较句1,A有/没有B（+这么/那么）+形容词,"你有他高吗？
今天没有昨天（那么）冷。
我的汉语没有你（这么）好。"
HSK2,句子的类型,特殊句式,比较句1,A比B+动词+得+形容词/A+动词+得+比+B+形容词,"她比我说得好。
我跑得比弟弟快。"
HSK2,句子的类型,特殊句式,比较句1,A比B+形容词,"姐姐比我高。
公交车比地铁便宜。"
HSK2,句子的类型,特殊句式,比较句1,A比B+形容词+数量补语/程度补语,"哥哥比我大两岁。
咖啡比奶茶贵一点儿。
今天比昨天冷多了。
姐姐的个子比妹妹高得多。"
HSK2,固定格式,,,要/快要/就要……了,"电影要开始了。
我们快要开学了。
下星期就要考试了。"
HSK2,固定格式,,,还是……吧,"这些菜我都没吃过，还是你点吧。
你还是去医院看看吧。"
HSK2,固定格式,,,都……了,"都这么晚了，你怎么还不睡觉？
都十一点了，别看电视了。"
HSK2,特殊表达法,数的表达法,,序数表示法2：数词+量词,"我的房间在三楼。
你可以坐304路公交车。"
HSK2,特殊表达法,数的表达法,,概数表达法1：数词+多+量词,"教室里有二十多个学生。
那个手机五千多块钱。"
HSK2,特殊表达法,数的表达法,,概数表达法1：数词+量词+多,"我来中国已经三年多了。
王老师的儿子今年六岁多了。"
HSK2,特殊表达法,数的表达法,,概数表达法1：用“几”表示概数,"这几件衣服你帮我洗一下。
我们学校有几百名外国学生。"
HSK2,短语,功能类型,动词性短语,动词性短语,写汉字、听懂、回去、经常上网、可以进去
HSK2,短语,功能类型,名词性短语,名词性短语,新电脑、老师的书、火车票、一个男孩、两条、这间
HSK2,短语,功能类型,形容词性短语,形容词性短语,很累、非常忙、慢一点儿
HSK2,短语,固定短语,其他,什么的,"他喜欢唱歌、跳舞什么的。
足球、篮球什么的，我都喜欢。"
HSK2,短语,结构类型,其他结构类型,兼语短语,请他来、叫朋友帮忙、让妈妈洗衣服
HSK2,短语,结构类型,其他结构类型,“的”字短语,老师的、白色的、便宜的、妈妈做的
HSK2,短语,结构类型,其他结构类型,连谓短语,来上课、去上海旅游、坐地铁去学校
