level_code,tree_kind,depth,parent_content,content,sort_order
HSK2,task,1,,问答个人基本情况,1
HSK2,task,1,,问答事件情况,2
HSK2,task,1,,问答物品情况,3
HSK2,task,1,,介绍天气基本情况,4
HSK2,task,1,,介绍某个地方,5
HSK2,task,1,,日常言语交往,6
HSK2,task,1,,问答日常饮食,7
HSK2,task,1,,问答出行情况,8
HSK2,task,1,,问答商品情况,9
HSK2,task,1,,问答生病、探病,10
HSK2,task,1,,交流休闲活动,11
HSK2,task,1,,介绍家庭日常生活,12
HSK2,task,1,,介绍学习情况、学习经历,13
HSK2,task,1,,交流学校情况、课后活动,14
HSK2,task,1,,交流工作情况,15
HSK2,task,1,,介绍过年及传统饮食,16
HSK2,task,1,,使用中文称谓语,17
HSK2,topic,1,,基本信息,1
HSK2,topic,1,,日常生活,2
HSK2,topic,1,,教育情况,3
HSK2,topic,1,,职场生活,4
HSK2,topic,1,,文化与传统,5
HSK2,topic,2,基本信息,个人信息,1
HSK2,topic,2,日常生活,交往,1
HSK2,topic,2,文化与传统,传统习俗,1
HSK2,topic,2,教育情况,学习情况,1
HSK2,topic,2,职场生活,工作情况,1
HSK2,topic,2,基本信息,事件信息,2
HSK2,topic,2,教育情况,校园生活,2
HSK2,topic,2,职场生活,职业,2
HSK2,topic,2,日常生活,饮食,2
HSK2,topic,2,文化与传统,饮食文化,2
HSK2,topic,2,日常生活,交通出行,3
HSK2,topic,2,文化与传统,姓氏文化,3
HSK2,topic,2,基本信息,物品信息,3
HSK2,topic,2,基本信息,环境信息,4
HSK2,topic,2,日常生活,购物,4
HSK2,topic,2,日常生活,医疗健康,5
HSK2,topic,2,日常生活,休闲,6
HSK2,topic,2,日常生活,家庭生活,7
HSK2,grammar,1,,语素,1
HSK2,grammar,1,,词类,2
HSK2,grammar,1,,短语,3
HSK2,grammar,1,,固定格式,4
HSK2,grammar,1,,句子成分,5
HSK2,grammar,1,,句子的类型,6
HSK2,grammar,1,,动作的态,7
HSK2,grammar,1,,特殊表达法,8
HSK2,grammar,2,句子成分,主语,1
HSK2,grammar,2,句子的类型,句型,1
HSK2,grammar,2,词类,名词,1
HSK2,grammar,2,语素,后缀,1
HSK2,grammar,2,特殊表达法,数的表达法,1
HSK2,grammar,2,短语,结构类型,1
HSK2,grammar,2,短语,功能类型,2
HSK2,grammar,2,词类,动词,2
HSK2,grammar,2,句子的类型,句类,2
HSK2,grammar,2,句子成分,谓语,2
HSK2,grammar,2,词类,代词,3
HSK2,grammar,2,短语,固定短语,3
HSK2,grammar,2,句子成分,定语,3
HSK2,grammar,2,句子的类型,特殊句式,3
HSK2,grammar,2,句子的类型,复句,4
HSK2,grammar,2,词类,形容词,4
HSK2,grammar,2,句子成分,补语,4
HSK2,grammar,2,词类,数词,5
HSK2,grammar,2,词类,量词,6
HSK2,grammar,2,词类,副词,7
HSK2,grammar,2,词类,介词,8
HSK2,grammar,2,词类,连词,9
HSK2,grammar,2,词类,助词,10
HSK2,grammar,3,固定短语,其他,1
HSK2,grammar,3,动词,动词重叠,1
HSK2,grammar,3,句型,单句,1
HSK2,grammar,3,功能类型,名词性短语,1
HSK2,grammar,3,量词,名量词,1
HSK2,grammar,3,结构类型,基本结构类型,1
HSK2,grammar,3,介词,引出时间、处所,1
HSK2,grammar,3,形容词,形容词重叠,1
HSK2,grammar,3,名词,方位名词,1
HSK2,grammar,3,特殊句式,“是”字句2,1
HSK2,grammar,3,代词,疑问代词,1
HSK2,grammar,3,句类,疑问句,1
HSK2,grammar,3,副词,程度副词,1
HSK2,grammar,3,助词,结构助词,1
HSK2,grammar,3,补语,结果补语1,1
HSK2,grammar,3,连词,连接词或短语,1
HSK2,grammar,3,复句,选择复句,1
HSK2,grammar,3,代词,人称代词,2
HSK2,grammar,3,结构类型,其他结构类型,2
HSK2,grammar,3,助词,动态助词,2
HSK2,grammar,3,功能类型,动词性短语,2
HSK2,grammar,3,量词,动量词,2
HSK2,grammar,3,介词,引出方向、路径,2
HSK2,grammar,3,特殊句式,“有”字句2,2
HSK2,grammar,3,句类,祈使句,2
HSK2,grammar,3,动词,能愿动词,2
HSK2,grammar,3,副词,范围副词,2
HSK2,grammar,3,补语,趋向补语1,2
HSK2,grammar,3,复句,转折复句,2
HSK2,grammar,3,连词,连接分句或者句子,2
HSK2,grammar,3,复句,因果复句,3
HSK2,grammar,3,特殊句式,存现句2,3
HSK2,grammar,3,介词,引出对象,3
HSK2,grammar,3,功能类型,形容词性短语,3
HSK2,grammar,3,代词,指示代词,3
HSK2,grammar,3,副词,时间副词,3
HSK2,grammar,3,补语,状态补语1,3
HSK2,grammar,3,动词,离合词,3
HSK2,grammar,3,助词,语气助词,3
HSK2,grammar,3,介词,引出原因,4
HSK2,grammar,3,补语,数量补语2,4
HSK2,grammar,3,特殊句式,比较句1,4
HSK2,grammar,3,复句,紧缩复句,4
HSK2,grammar,3,副词,频率副词,4
HSK2,grammar,3,副词,否定副词,5
HSK2,grammar,3,特殊句式,“是……的”句1,5
HSK2,grammar,3,副词,关联副词,6
HSK2,grammar,3,特殊句式,兼语句1,6
HSK2,grammar,3,特殊句式,双宾语句2,7
HSK2,grammar,3,副词,语气副词,7
