level_code,hanzi_type,hanzi_type_name,character
HSK7-9,1,认读,妖
HSK7-9,1,认读,妥
HSK7-9,1,认读,姆
HSK7-9,1,认读,姜
HSK7-9,1,认读,娇
HSK7-9,1,认读,婉
HSK7-9,1,认读,婪
HSK7-9,1,认读,婿
HSK7-9,1,认读,媚
HSK7-9,1,认读,媲
HSK7-9,1,认读,嫂
HSK7-9,1,认读,嫉
HSK7-9,1,认读,嫩
HSK7-9,1,认读,嬉
HSK7-9,1,认读,孔
HSK7-9,1,认读,孝
HSK7-9,1,认读,孪
HSK7-9,1,认读,孵
HSK7-9,1,认读,宁
HSK7-9,1,认读,宇
HSK7-9,1,认读,宗
HSK7-9,1,认读,宙
HSK7-9,1,认读,宪
HSK7-9,1,认读,宰
HSK7-9,1,认读,寐
HSK7-9,1,认读,寝
HSK7-9,1,认读,寡
HSK7-9,1,认读,寥
HSK7-9,1,认读,寨
HSK7-9,1,认读,寺
HSK7-9,1,认读,尸
HSK7-9,1,认读,尿
HSK7-9,1,认读,屁
HSK7-9,1,认读,屉
HSK7-9,1,认读,屎
HSK7-9,1,认读,屑
HSK7-9,1,认读,屠
HSK7-9,1,认读,屡
HSK7-9,1,认读,屹
HSK7-9,1,认读,屿
HSK7-9,1,认读,岂
HSK7-9,1,认读,岔
HSK7-9,1,认读,岖
HSK7-9,1,认读,岩
HSK7-9,1,认读,岭
HSK7-9,1,认读,岳
HSK7-9,1,认读,峙
HSK7-9,1,认读,峡
HSK7-9,1,认读,峭
HSK7-9,1,认读,峻
HSK7-9,1,认读,崎
HSK7-9,1,认读,崖
HSK7-9,1,认读,崛
HSK7-9,1,认读,崩
HSK7-9,1,认读,嵌
HSK7-9,1,认读,巅
HSK7-9,1,认读,川
HSK7-9,1,认读,巡
HSK7-9,1,认读,巢
HSK7-9,1,认读,巷
HSK7-9,1,认读,帐
HSK7-9,1,认读,帕
HSK7-9,1,认读,帖
HSK7-9,1,认读,帘
HSK7-9,1,认读,帚
HSK7-9,1,认读,帜
HSK7-9,1,认读,帷
HSK7-9,1,认读,幄
HSK7-9,1,认读,幢
HSK7-9,1,认读,庇
HSK7-9,1,认读,庙
HSK7-9,1,认读,废
HSK7-9,1,认读,庸
HSK7-9,1,认读,廉
HSK7-9,1,认读,廓
HSK7-9,1,认读,廷
HSK7-9,1,认读,弈
HSK7-9,1,认读,弊
HSK7-9,1,认读,弓
HSK7-9,1,认读,弘
HSK7-9,1,认读,弛
HSK7-9,1,认读,弦
HSK7-9,1,认读,彬
HSK7-9,1,认读,彰
HSK7-9,1,认读,役
HSK7-9,1,认读,徊
HSK7-9,1,认读,徐
HSK7-9,1,认读,徘
HSK7-9,1,认读,徙
HSK7-9,1,认读,御
HSK7-9,1,认读,徽
HSK7-9,1,认读,忌
HSK7-9,1,认读,忠
HSK7-9,1,认读,怂
HSK7-9,1,认读,怖
HSK7-9,1,认读,怠
HSK7-9,1,认读,怡
HSK7-9,1,认读,怯
HSK7-9,1,认读,恍
HSK7-9,1,认读,恒
HSK7-9,1,认读,恕
HSK7-9,1,认读,恤
HSK7-9,1,认读,恩
HSK7-9,1,认读,恳
HSK7-9,1,认读,恿
HSK7-9,1,认读,悟
HSK7-9,1,认读,悦
HSK7-9,1,认读,悬
HSK7-9,1,认读,悴
HSK7-9,1,认读,悼
HSK7-9,1,认读,惋
HSK7-9,1,认读,惕
HSK7-9,1,认读,惦
HSK7-9,1,认读,惨
HSK7-9,1,认读,惫
HSK7-9,1,认读,惬
HSK7-9,1,认读,惭
