level_code,hanzi_type,hanzi_type_name,character
HSK4,1,认读,与
HSK4,1,认读,专
HSK4,1,认读,严
HSK4,1,认读,丰
HSK4,1,认读,丽
HSK4,1,认读,举
HSK4,1,认读,之
HSK4,1,认读,乒
HSK4,1,认读,乓
HSK4,1,认读,乘
HSK4,1,认读,乡
HSK4,1,认读,乱
HSK4,1,认读,争
HSK4,1,认读,云
HSK4,1,认读,互
HSK4,1,认读,亚
HSK4,1,认读,产
HSK4,1,认读,京
HSK4,1,认读,亲
HSK4,1,认读,仅
HSK4,1,认读,仍
HSK4,1,认读,仔
HSK4,1,认读,付
HSK4,1,认读,价
HSK4,1,认读,任
HSK4,1,认读,份
HSK4,1,认读,众
HSK4,1,认读,优
HSK4,1,认读,伙
HSK4,1,认读,伤
HSK4,1,认读,估
HSK4,1,认读,低
HSK4,1,认读,何
HSK4,1,认读,使
HSK4,1,认读,例
HSK4,1,认读,供
HSK4,1,认读,保
HSK4,1,认读,俩
HSK4,1,认读,修
HSK4,1,认读,倍
HSK4,1,认读,倒
HSK4,1,认读,值
HSK4,1,认读,停
HSK4,1,认读,偶
HSK4,1,认读,傅
HSK4,1,认读,傲
HSK4,1,认读,允
HSK4,1,认读,兄
HSK4,1,认读,光
HSK4,1,认读,克
HSK4,1,认读,免
HSK4,1,认读,入
HSK4,1,认读,具
HSK4,1,认读,内
HSK4,1,认读,农
HSK4,1,认读,况
HSK4,1,认读,减
HSK4,1,认读,刀
HSK4,1,认读,切
HSK4,1,认读,划
HSK4,1,认读,列
HSK4,1,认读,则
HSK4,1,认读,判
HSK4,1,认读,利
HSK4,1,认读,剧
HSK4,1,认读,剩
HSK4,1,认读,功
HSK4,1,认读,励
HSK4,1,认读,勇
HSK4,1,认读,匙
HSK4,1,认读,博
HSK4,1,认读,印
HSK4,1,认读,危
HSK4,1,认读,即
HSK4,1,认读,却
HSK4,1,认读,厂
HSK4,1,认读,厅
HSK4,1,认读,厉
HSK4,1,认读,压
HSK4,1,认读,厌
HSK4,1,认读,厕
HSK4,1,认读,厚
HSK4,1,认读,原
HSK4,1,认读,厨
HSK4,1,认读,及
HSK4,1,认读,反
HSK4,1,认读,取
HSK4,1,认读,另
HSK4,1,认读,台
HSK4,1,认读,叶
HSK4,1,认读,各
HSK4,1,认读,否
HSK4,1,认读,吸
HSK4,1,认读,吹
HSK4,1,认读,味
HSK4,1,认读,呼
HSK4,1,认读,命
HSK4,1,认读,咳
HSK4,1,认读,咸
HSK4,1,认读,品
HSK4,1,认读,售
HSK4,1,认读,喊
HSK4,1,认读,嗯
HSK4,1,认读,嗽
HSK4,1,认读,困
HSK4,1,认读,围
HSK4,1,认读,土
HSK4,1,认读,圾
HSK4,1,认读,址
HSK4,1,认读,垃
HSK4,1,认读,基
HSK4,1,认读,堂
HSK4,1,认读,堵
HSK4,1,认读,塑
HSK4,1,认读,填
HSK4,1,认读,增
HSK4,1,认读,夜
HSK4,1,认读,够
HSK4,1,认读,失
HSK4,1,认读,奋
HSK4,1,认读,奖
HSK4,1,认读,套
HSK4,1,认读,姑
HSK4,1,认读,娘
HSK4,1,认读,存
HSK4,1,认读,孙
HSK4,1,认读,寄
HSK4,1,认读,密
HSK4,1,认读,富
HSK4,1,认读,寒
HSK4,1,认读,察
HSK4,1,认读,导
HSK4,1,认读,将
HSK4,1,认读,尊
HSK4,1,认读,尔
HSK4,1,认读,尤
HSK4,1,认读,尽
HSK4,1,认读,巧
HSK4,1,认读,巴
HSK4,1,认读,巾
HSK4,1,认读,帅
HSK4,1,认读,帽
HSK4,1,认读,幅
HSK4,1,认读,并
HSK4,1,认读,幸
HSK4,1,认读,幽
HSK4,1,认读,广
HSK4,1,认读,庆
HSK4,1,认读,序
HSK4,1,认读,底
HSK4,1,认读,度
HSK4,1,认读,座
HSK4,1,认读,庭
HSK4,1,认读,建
HSK4,1,认读,弃
HSK4,1,认读,弄
HSK4,1,认读,式
HSK4,1,认读,引
HSK4,1,认读,弹
HSK4,1,认读,强
HSK4,1,认读,彩
HSK4,1,认读,待
HSK4,1,认读,律
HSK4,1,认读,微
HSK4,1,认读,忆
HSK4,1,认读,志
HSK4,1,认读,忽
HSK4,1,认读,怀
HSK4,1,认读,态
HSK4,1,认读,性
HSK4,1,认读,恐
HSK4,1,认读,恼
HSK4,1,认读,悉
HSK4,1,认读,悔
HSK4,1,认读,惊
HSK4,1,认读,惜
HSK4,1,认读,愉
HSK4,1,认读,慕
HSK4,1,认读,懒
HSK4,1,认读,戚
HSK4,1,认读,戴
HSK4,1,认读,户
HSK4,1,认读,扔
HSK4,1,认读,扬
HSK4,1,认读,扰
HSK4,1,认读,批
HSK4,1,认读,技
HSK4,1,认读,折
HSK4,1,认读,抬
HSK4,1,认读,抱
HSK4,1,认读,拉
HSK4,1,认读,拒
HSK4,1,认读,招
HSK4,1,认读,拾
HSK4,1,认读,挂
HSK4,1,认读,指
HSK4,1,认读,按
HSK4,1,认读,授
HSK4,1,认读,掉
HSK4,1,认读,排
HSK4,1,认读,推
HSK4,1,认读,摄
HSK4,1,认读,播
HSK4,1,认读,操
HSK4,1,认读,擦
HSK4,1,认读,支
HSK4,1,认读,改
HSK4,1,认读,效
HSK4,1,认读,敢
HSK4,1,认读,散
HSK4,1,认读,敲
HSK4,1,认读,整
HSK4,1,认读,断
HSK4,1,认读,族
HSK4,1,认读,无
HSK4,1,认读,既
HSK4,1,认读,晨
HSK4,1,认读,普
HSK4,1,认读,景
HSK4,1,认读,暂
HSK4,1,认读,暑
HSK4,1,认读,暖
HSK4,1,认读,术
HSK4,1,认读,杂
HSK4,1,认读,材
HSK4,1,认读,村
HSK4,1,认读,松
HSK4,1,认读,林
HSK4,1,认读,染
HSK4,1,认读,柿
HSK4,1,认读,标
HSK4,1,认读,格
HSK4,1,认读,案
HSK4,1,认读,桥
HSK4,1,认读,桶
HSK4,1,认读,梦
HSK4,1,认读,棒
HSK4,1,认读,森
HSK4,1,认读,棵
HSK4,1,认读,植
HSK4,1,认读,歉
HSK4,1,认读,止
HSK4,1,认读,此
HSK4,1,认读,死
HSK4,1,认读,母
HSK4,1,认读,毕
HSK4,1,认读,氏
HSK4,1,认读,民
HSK4,1,认读,永
HSK4,1,认读,汁
HSK4,1,认读,汗
HSK4,1,认读,江
HSK4,1,认读,污
HSK4,1,认读,汤
HSK4,1,认读,油
HSK4,1,认读,泼
HSK4,1,认读,洋
HSK4,1,认读,洲
HSK4,1,认读,流
HSK4,1,认读,济
HSK4,1,认读,浪
HSK4,1,认读,消
HSK4,1,认读,深
HSK4,1,认读,温
HSK4,1,认读,漫
HSK4,1,认读,烟
HSK4,1,认读,烤
HSK4,1,认读,烦
HSK4,1,认读,熟
