level_code,level1_topic,level2_topic,topic_item
HSK4,当代社会,中外交流,友好往来
HSK4,当代社会,体育,体育名人、体育故事
HSK4,当代社会,体育,体育比赛
HSK4,当代社会,体育,运动项目
HSK4,当代社会,文艺,创作者及其作品
HSK4,当代社会,文艺,文艺形式
HSK4,当代社会,文艺,文艺活动
HSK4,当代社会,概况,少数民族
HSK4,当代社会,概况,首都、主要省市
HSK4,当代社会,社会现象,基础设施
HSK4,当代社会,社会现象,流行事物
HSK4,当代社会,社会现象,生活观念
HSK4,当代社会,社会现象,网络生活
HSK4,当代社会,经济现象,新商业形态
HSK4,当代社会,经济现象,流行产品
HSK4,当代社会,经济现象,经济状况
HSK4,教育情况,学习情况,学习心得
HSK4,教育情况,学习情况,学习经历
HSK4,教育情况,学习情况,教学情况
HSK4,教育情况,学习情况,课程情况
HSK4,教育情况,教育问题,家庭教育
HSK4,教育情况,教育问题,社会教育
HSK4,教育情况,校园生活,学校情况
HSK4,教育情况,校园生活,校园活动
HSK4,文化与传统,人文景观,名胜古迹等
HSK4,文化与传统,历史,历史人物、历史事件
HSK4,文化与传统,民俗传统,人际交往礼仪
HSK4,文化与传统,民俗传统,传统节日与习俗
HSK4,文化与传统,民俗传统,各地传统
HSK4,文化与传统,民俗传统,国粹
HSK4,文化与传统,语言文字,俗语、名言等
HSK4,文化与传统,饮食文化,传统饮食观念
HSK4,文化与传统,饮食文化,各地饮食、传统店铺、品牌等
HSK4,日常生活,个人情况,个人信息
HSK4,日常生活,个人情况,个人特征
HSK4,日常生活,交往,情感
HSK4,日常生活,交往,感悟
HSK4,日常生活,交往,礼貌行为
HSK4,日常生活,交通出行,交通
HSK4,日常生活,交通出行,出行经历
HSK4,日常生活,休闲,休闲活动
HSK4,日常生活,休闲,活动感受、看法等
HSK4,日常生活,医疗健康,健康生活
HSK4,日常生活,医疗健康,就医
HSK4,日常生活,家庭生活,家庭事务
HSK4,日常生活,家庭生活,家庭关系
HSK4,日常生活,家庭生活,居家生活
HSK4,日常生活,家庭生活,成长过程
HSK4,日常生活,家庭生活,生活习惯
HSK4,日常生活,日常事务,业务办理
HSK4,日常生活,日常事务,困难求助
HSK4,日常生活,社区,居住情况
HSK4,日常生活,社区,房屋租赁与买卖
HSK4,日常生活,社区,社区生活
HSK4,日常生活,购物,商品选购
HSK4,日常生活,购物,商家活动
HSK4,日常生活,购物,购物体验
HSK4,日常生活,饮食,做菜
HSK4,日常生活,饮食,就餐
HSK4,日常生活,饮食,食物饮品
HSK4,科学技术,科学知识,科普知识
HSK4,科学技术,科学知识,科研成果
HSK4,科学技术,科技发展,新技术运用
HSK4,职场生活,单位情况,人事管理
HSK4,职场生活,单位情况,工作环境与待遇
HSK4,职场生活,日常办公,办公事务
HSK4,职场生活,日常办公,工作表现
HSK4,职场生活,日常办公,职场交往
HSK4,职场生活,职业与经历,工作经历
HSK4,职场生活,职业与经历,职业现状、职业评价
HSK4,自然与环境,环境,环境保护
HSK4,自然与环境,环境,环境状况
HSK4,自然与环境,自然,动植物
HSK4,自然与环境,自然,地理
HSK4,自然与环境,自然,气候
HSK4,自然与环境,自然,自然景观
HSK4,自然与环境,自然,自然现象
