level_code,tree_kind,depth,parent_content,content,sort_order
HSK4,task,1,,谈论某个人物,1
HSK4,task,1,,交流、处理日常事务,2
HSK4,task,1,,日常言语交往,3
HSK4,task,1,,谈论情感话题,4
HSK4,task,1,,介绍饮食情况,5
HSK4,task,1,,谈论交通出行,6
HSK4,task,1,,交流购物体验、商业活动内容,7
HSK4,task,1,,谈论就医情况、健康生活,8
HSK4,task,1,,交流业余爱好、休闲度假,9
HSK4,task,1,,交流居住情况、社区情况,10
HSK4,task,1,,交流家庭生活情况,11
HSK4,task,1,,谈论教学、学习情况,12
HSK4,task,1,,交流校园生活,13
HSK4,task,1,,谈论教育现象、观念,14
HSK4,task,1,,谈论工作情况与表现,15
HSK4,task,1,,介绍职业经历与单位情况,16
HSK4,task,1,,谈论自然情况,17
HSK4,task,1,,谈论生活中的环保情况,18
HSK4,task,1,,介绍新技术应用及科技成果,19
HSK4,task,1,,介绍中国的主要省市、民族,20
HSK4,task,1,,谈论经济现象,21
HSK4,task,1,,谈论社会现象,22
HSK4,task,1,,介绍文艺形式、活动、作品,23
HSK4,task,1,,谈论体育项目及比赛,24
HSK4,task,1,,讲述中外友好故事,25
HSK4,task,1,,介绍常见俗语、名言,26
HSK4,task,1,,介绍传统饮食文化,27
HSK4,task,1,,介绍风俗传统,28
HSK4,task,1,,介绍名胜古迹,29
HSK4,task,1,,介绍历史人物、历史事件,30
HSK4,topic,1,,日常生活,1
HSK4,topic,1,,教育情况,2
HSK4,topic,1,,职场生活,3
HSK4,topic,1,,自然与环境,4
HSK4,topic,1,,科学技术,5
HSK4,topic,1,,当代社会,6
HSK4,topic,1,,文化与传统,7
HSK4,topic,2,日常生活,个人情况,1
HSK4,topic,2,教育情况,学习情况,1
HSK4,topic,2,职场生活,日常办公,1
HSK4,topic,2,当代社会,概况,1
HSK4,topic,2,科学技术,科技发展,1
HSK4,topic,2,自然与环境,自然,1
HSK4,topic,2,文化与传统,语言文字,1
HSK4,topic,2,日常生活,日常事务,2
HSK4,topic,2,教育情况,校园生活,2
HSK4,topic,2,自然与环境,环境,2
HSK4,topic,2,科学技术,科学知识,2
HSK4,topic,2,当代社会,经济现象,2
HSK4,topic,2,职场生活,职业与经历,2
HSK4,topic,2,文化与传统,饮食文化,2
HSK4,topic,2,日常生活,交往,3
HSK4,topic,2,职场生活,单位情况,3
HSK4,topic,2,教育情况,教育问题,3
HSK4,topic,2,文化与传统,民俗传统,3
HSK4,topic,2,当代社会,社会现象,3
HSK4,topic,2,文化与传统,人文景观,4
HSK4,topic,2,当代社会,文艺,4
HSK4,topic,2,日常生活,饮食,4
HSK4,topic,2,日常生活,交通出行,5
HSK4,topic,2,当代社会,体育,5
HSK4,topic,2,文化与传统,历史,5
HSK4,topic,2,当代社会,中外交流,6
HSK4,topic,2,日常生活,购物,6
HSK4,topic,2,日常生活,医疗健康,7
HSK4,topic,2,日常生活,休闲,8
HSK4,topic,2,日常生活,社区,9
HSK4,topic,2,日常生活,家庭生活,10
HSK4,grammar,1,,词类,1
HSK4,grammar,1,,短语,2
HSK4,grammar,1,,固定格式,3
HSK4,grammar,1,,句子成分,4
HSK4,grammar,1,,句子的类型,5
HSK4,grammar,1,,特殊表达法,6
HSK4,grammar,2,词类,动词,1
HSK4,grammar,2,句子的类型,句类,1
HSK4,grammar,2,特殊表达法,数的表示法,1
HSK4,grammar,2,短语,结构类型,1
HSK4,grammar,2,词类,代词,2
HSK4,grammar,2,短语,固定短语,2
HSK4,grammar,2,句子的类型,特殊句型,2
HSK4,grammar,2,句子的类型,复句,3
HSK4,grammar,2,词类,量词,3
HSK4,grammar,2,词类,副词,4
HSK4,grammar,2,词类,介词,5
HSK4,grammar,2,词类,连词,6
HSK4,grammar,2,词类,助词,7
HSK4,grammar,2,词类,叹词,8
HSK4,grammar,3,助词,其他助词,1
HSK4,grammar,3,句类,反问句2,1
HSK4,grammar,3,量词,名量词,1
HSK4,grammar,3,固定短语,四字格,1
HSK4,grammar,3,复句,并列复句,1
HSK4,grammar,3,介词,引出时间、处所,1
HSK4,grammar,3,特殊句型,“把”字句2,1
HSK4,grammar,3,代词,指示代词,1
HSK4,grammar,3,副词,程度副词,1
HSK4,grammar,3,动词,能愿动词,1
HSK4,grammar,3,连词,连接词或词组,1
HSK4,grammar,3,固定短语,其他,2
HSK4,grammar,3,量词,动量词,2
HSK4,grammar,3,介词,引出施事、受事,2
HSK4,grammar,3,复句,承接复句,2
HSK4,grammar,3,副词,范围副词,2
HSK4,grammar,3,特殊句型,被动句2,2
HSK4,grammar,3,连词,连接分句或句子,2
HSK4,grammar,3,特殊句型,兼语句2,3
HSK4,grammar,3,介词,引出原因,3
HSK4,grammar,3,副词,时间副词,3
HSK4,grammar,3,复句,递进复句,3
HSK4,grammar,3,介词,引出对象,4
HSK4,grammar,3,特殊句型,比较句3,4
HSK4,grammar,3,复句,选择复句,4
HSK4,grammar,3,副词,频率副词,4
HSK4,grammar,3,特殊句型,双重否定句,5
HSK4,grammar,3,介词,引出凭借、依据,5
HSK4,grammar,3,副词,方式副词,5
HSK4,grammar,3,复句,转折复句,5
HSK4,grammar,3,复句,假设复句,6
HSK4,grammar,3,副词,关联副词,6
HSK4,grammar,3,副词,情态副词,7
HSK4,grammar,3,复句,条件复句,7
HSK4,grammar,3,复句,因果复句,8
HSK4,grammar,3,副词,语气副词,8
HSK4,grammar,3,复句,目的复句,9
HSK4,grammar,3,复句,让步复句,10
HSK4,grammar,3,复句,紧缩复句,11
