level_code,level1_topic,level2_topic,topic_item
HSK3,当代社会,体育,体育比赛
HSK3,当代社会,体育,运动项目
HSK3,当代社会,文艺,文艺活动
HSK3,当代社会,社会情况,城市发展
HSK3,当代社会,社会情况,现代生活
HSK3,教育情况,学习情况,学习活动
HSK3,教育情况,学习情况,学习环境
HSK3,教育情况,学习情况,学习经历
HSK3,教育情况,学习情况,课程情况
HSK3,教育情况,教育问题,家庭教育
HSK3,教育情况,校园生活,学校情况
HSK3,教育情况,校园生活,校园活动
HSK3,文化与传统,风俗传统,传统节日与习俗
HSK3,文化与传统,风俗传统,地区差异
HSK3,文化与传统,饮食文化,特色饮食
HSK3,文化与传统,饮食文化,餐具
HSK3,日常生活,个人情况,个人信息
HSK3,日常生活,个人情况,个人特征
HSK3,日常生活,交往,意愿感受
HSK3,日常生活,交往,礼貌行为
HSK3,日常生活,交通出行,交通规则
HSK3,日常生活,交通出行,出行安排
HSK3,日常生活,交通出行,出行方式
HSK3,日常生活,交通出行,出行经历
HSK3,日常生活,休闲,休闲活动
HSK3,日常生活,休闲,活动体验
HSK3,日常生活,医疗健康,健康观念
HSK3,日常生活,医疗健康,就医
HSK3,日常生活,医疗健康,探病
HSK3,日常生活,医疗健康,生病
HSK3,日常生活,家庭生活,家庭事务
HSK3,日常生活,家庭生活,家庭关系
HSK3,日常生活,家庭生活,居家生活
HSK3,日常生活,家庭生活,生活习惯
HSK3,日常生活,日常事务,业务办理
HSK3,日常生活,日常事务,事务处理
HSK3,日常生活,社区,居住情况
HSK3,日常生活,购物,商品选购
HSK3,日常生活,购物,购物经历
HSK3,日常生活,饮食,就餐
HSK3,日常生活,饮食,食物饮品
HSK3,日常生活,饮食,饮食习惯
HSK3,职场生活,日常办公,办公事务
HSK3,职场生活,日常办公,同事相处
HSK3,职场生活,日常办公,工作环境
HSK3,职场生活,日常办公,工作表现
HSK3,职场生活,职业与经历,工作经历
HSK3,职场生活,职业与经历,职业评价
HSK3,自然与环境,环境,环境保护
HSK3,自然与环境,环境,环境状况
HSK3,自然与环境,自然,动植物
HSK3,自然与环境,自然,季节
HSK3,自然与环境,自然,气候
HSK3,自然与环境,自然,自然风景
