level_code,grammar_type,category_type,grammar_detail,content,cases
HSK3,句子成分,主语,,主谓短语作主语,"你来也可以。
身体健康最重要。"
HSK3,句子成分,主语,,动词或动词性短语、形容词或形容词性短语作主语,"哭没有用。
多穿一点儿比较好。
太胖了不好，太瘦了也不好。"
HSK3,句子成分,定语,,多项定语,"我昨天新买的那条黑色的裤子你放在哪儿了？                 
前面那个穿着蓝衬衫的短头发高个子的老人就是我的中文老师。"
HSK3,句子成分,补语,可能补语1,动词+得/不+动词/形容词,"老师说的话你听得懂吗？
黑板上的字太小，我看不清楚。"
HSK3,句子成分,补语,数量补语3,表示动作结束到某个时间点的间隔时间,"开学已经两个星期了。
这件事已经过去五年了。"
HSK3,句子成分,补语,程度补语1,形容词/动词+极了/坏了,"看见考试成绩的时候，我高兴极了。
爬山回来，大家都累坏了。"
HSK3,句子成分,补语,程度补语1,形容词+得很,"这里的环境好得很。
这儿从早到晚都有风，凉快得很。"
HSK3,句子成分,补语,结果补语2,动词+到/住/走/上,"火车票你买到了没有？
老师说的话我都记住了。
我的自行车让朋友骑走了。
下班的时候，别忘了关上电脑。"
HSK3,句子成分,补语,趋向补语2,趋向补语的引申用法：表示动作行为的开始：动词+上/起来,"饿了一天，我们终于吃上饭了。
儿子刚到家就玩上了电脑游戏。
他们一见面就聊起来了。
妈妈一出门，孩子就哭起来了。"
HSK3,句子成分,补语,趋向补语2,趋向补语的引申用法：表示动作行为的持续：动词+下去/下来,"虽然学习汉语不容易，但是我一定会坚持下去。
在老师的帮助下，我一定可以学下去。
在过去的一年里，我把每天练习汉字的习惯坚持下来了。
这三天玩下来太累了，我得好好休息休息。"
HSK3,句子成分,补语,趋向补语2,趋向补语的引申用法：表示结果意义：动词+出/起/下,"我们终于想出了一个好办法。               
你想起她的名字了没有？                
请在这儿写下您的电话。"
HSK3,句子的类型,句类,反问句1,用反问句表示强调：不是……吗？,"你不是写完作业了吗？
考试不是下个星期一吗？"
HSK3,句子的类型,句类,疑问句,“怎样+动词”的特指问句,"怎样才能学好汉语呢？
中国人是怎样过新年的？"
HSK3,句子的类型,复句,假设复句,如果……，就……,"如果明天不下雨，我们就去爬山。
如果你需要帮忙，就给我打电话。"
HSK3,句子的类型,复句,假设复句,……的话，就……,"你有时间的话，就一起去吧。
你觉得满意的话，咱们就买。"
HSK3,句子的类型,复句,并列复句,一会儿……，一会儿……,"他一会儿进来，一会儿出去，忙得很。
最近的天气一会儿冷，一会儿热。"
HSK3,句子的类型,复句,并列复句,一边……，一边……,"他一边工作，一边学习中文。
我喜欢一边跑步，一边听音乐。"
HSK3,句子的类型,复句,并列复句,又……，又……,"这件衣服又便宜又好看。
那个又高又漂亮的女孩儿是谁？"
HSK3,句子的类型,复句,承接复句,先……，再/然后……,"你先去买门票，再来这里找我。
我想先吃饭，然后回房间休息。"
HSK3,句子的类型,复句,条件复句,只有……，才……,"只有努力学习，才能得到好成绩。
只有多听、多说、多看，你的中文水平才能提高。"
HSK3,句子的类型,复句,条件复句,只要……，就……,"只要你坚持学习，就一定能学好。
只要你同意，我们就这么决定了。"
HSK3,句子的类型,复句,目的复句,为了……，……,"为了考上大学，她每天努力学习。
为了早点儿到家，我打算坐飞机。"
HSK3,句子的类型,复句,紧缩复句,……了……（就）……,"他吃了药就好多了。
我打算下了课就去图书馆。"
HSK3,句子的类型,复句,转折复句,虽然……，可是……,"房间虽然不大，可是很干净。
虽然天气很冷，可是他还是坚持每天锻炼。"
HSK3,句子的类型,复句,选择复句,或者……，或者……,"每周末，我们或者踢足球，或者打篮球。
春节的时候，人们或者回家过节，或者出门旅游。"
HSK3,句子的类型,复句,递进复句,不但……，而且……,"不但我学习中文，而且我的弟弟也学习中文。
我哥哥不但会打篮球，而且打得很好。"
HSK3,句子的类型,特殊句型,存现句3,表示出现：处所词+动词+趋向补语/结果补语+动态助词（了）+数量短语+人/物,"前边开过来一辆出租车。   
楼上搬来了一家人。
校门外走进来几个学生。"
HSK3,句子的类型,特殊句型,存现句3,表示消失：处所词+动词+结果补语+动态助词（了）+数量短语+人/物,"树上飞走了三只小鸟。                    
他家里跑丢了一只羊。"
HSK3,句子的类型,特殊句型,“把”字句1,主语+把+宾语1+动词（+给）+宾语2,"我们把礼物送给老师了。
他把那本书借给我了。"
HSK3,句子的类型,特殊句型,“把”字句1,主语+把+宾语+动词+在/到+处所,"你把箱子放在这儿吧。
我们把桌子搬到教室外边了。"
HSK3,句子的类型,特殊句型,“把”字句1,主语+把+宾语+动词+结果补语/趋向补语/状态补语,"我已经把晚饭准备好了。
咱们把这些桌子搬进去吧。
妈妈把衣服洗得干干净净。"
HSK3,句子的类型,特殊句型,“是……的”句2,强调说话人的看法或态度,"这个问题其实是很简单的。
多写多练对学习汉字是很有帮助的。"
HSK3,句子的类型,特殊句型,比较句2,A不比B+形容词,"这张画不比那张好看。
我的汉语水平不比他高。"
HSK3,句子的类型,特殊句型,比较句2,A比B+多/少/早/晚+动词+数量短语,"我比他早到十分钟。
哥哥比弟弟多吃了三个饺子。"
HSK3,句子的类型,特殊句型,比较句2,A比B+更/还+形容词,"她的汉语比我更好。
今天比昨天还冷。"
HSK3,句子的类型,特殊句型,比较句2,A跟B一样,"我的爱好跟他一样。
他买的新手机跟我的一样。"
HSK3,句子的类型,特殊句型,比较句2,A跟B一样+形容词,"坐地铁跟坐公交车一样方便。
这个房间跟那个房间一样大。"
HSK3,句子的类型,特殊句型,被动句1,主语+被+动词+其他成分,"桌子上的作业被拿走了。
病人已经被送到医院了。"
HSK3,句子的类型,特殊句型,被动句1,主语+被+宾语+动词+其他成分,"我的词典被朋友借走了。
冰箱里的水果被谁吃了？"
HSK3,句子的类型,特殊句型,连动句2,“着”表示动作的伴随：动词1+着+动词2,"老师总是笑着回答大家的问题。
我喜欢听着音乐做运动。"
HSK3,句子的类型,特殊句型,重动句,主语+动词+宾语+动词+补语,"我们昨天打篮球打了一个下午。
你今天上课上得怎么样？"
HSK3,固定格式,,,X什么(啊),"难过什么啊，你的成绩不是挺好的吗？
方便什么啊，附近一个超市都没有。"
HSK3,固定格式,,,一……也/都+不/没……,"来中国以前，我一句汉语也不会说。
你说的这些地方我一个都没去过。"
HSK3,固定格式,,,一点儿也不,"快要考试了，你怎么一点儿也不着急？
今天天气很好，一点儿也不冷。"
HSK3,固定格式,,,从……起,"从那天起，我们就变成了好朋友。
从现在起，我一定要努力学习。"
HSK3,固定格式,,,在……上/下/中,"在学习上，老师和同学给了我许多帮助。
在父母的影响下，我从小就对中文很感兴趣。
在这次比赛中，我认识了一些新朋友。"
HSK3,固定格式,,,（在）……以前/以后/前/后,"考试以前，你一定要认真复习。
来到中国以后，我慢慢习惯了这里的生活。
睡觉前别忘记吃药。
放学后，我要参加留学生篮球比赛。
在离开中国以前，我一定要去长城看看。"
HSK3,固定格式,,,对……来说,"对他来说，这个机会非常重要。
对我来说，学习汉语很有意思。"
HSK3,固定格式,,,该……了,"八点了，该上课了。
下周要考试，我该复习了。"
HSK3,固定格式,,,越……越……,"我想认识中国朋友，越多越好。
医生让我多休息，休息得越多，好得越快。"
HSK3,固定格式,,,除了 ……（以外），……还/也/都……,"除了看新闻（以外），人们还/也可以在网上看电影、买东西。
除了北京（以外），别的城市我都没去过。"
HSK3,特殊表达法,数的表达法,,概数表达法2：用“大概”表示概数,"你大概多长时间能到？
这些水果大概五十块钱。"
HSK3,特殊表达法,数的表达法,,概数表达法2：相邻数词连用表示概数,"教室里来了七八个学生。
从我家到学校，走路需要十五六分钟。"
HSK3,短语,固定短语,其他,一般来说,"一般来说，早上锻炼身体比较好。
一般来说，学习外语需要多练习。"
HSK3,短语,固定短语,其他,不一会儿,"不一会儿，张校长就来了。
时间不一会儿就过去了。"
HSK3,短语,固定短语,其他,不怎么样,"我觉得这些照片照得不怎么样。
虽然考试前我复习了很长时间，但是成绩不怎么样。"
HSK3,短语,固定短语,其他,在……看来,"在同事们看来，她对工作非常认真。
在我看来，坚持读书是一种很好的习惯。"
HSK3,短语,固定短语,其他,看上去,"这道题看上去很难，其实很简单。
她看上去不像五十多岁的人。"
HSK3,短语,固定短语,其他,看来,"电梯坏了，看来咱们只能走楼梯了。
这么晚了，看来他今天不会来了。"
HSK3,短语,固定短语,其他,看起来,"这些菜看起来都很好吃。
那个新来的老师看起来很年轻。"
HSK3,短语,固定短语,其他,越来越,"听说学习中文的年轻人越来越多。
我越来越习惯这里的生活了。"
HSK3,短语,固定短语,四字格,不A 不 B,"这件衣服不大不小，特别合适。
最近天气不冷不热，很舒服。"
HSK3,短语,结构类型,其他结构类型,动补短语2,漂亮极了、累坏了、看不懂、写得完
HSK3,短语,结构类型,其他结构类型,同位短语,首都北京、她一个人、我们学生
HSK3,短语,结构类型,其他结构类型,数量重叠：数词+量词+数词+量词,"工作要一步一步地做。
老师一句一句地教我们读课文。"
HSK3,词类,介词,引出凭借、依据,根据,"大家可以根据兴趣选择自己喜欢的运动。
根据要求，我们必须参加明天的会议。"
HSK3,词类,介词,引出对象,为1、向1、关于,"生日快乐，这是我为你做的蛋糕。
大家为这次比赛做了很多准备。
如果你不能去上课，应该向老师请假。
老师让我们向她学习。
关于这个问题，我们还需要认真讨论。
关于比赛的时间，我明天一定告诉大家。"
HSK3,词类,介词,引出方向、路径,向2,"他向门口走去，好像准备离开。
老师让大家看向前边。"
HSK3,词类,介词,引出施事、受事,把、被,"你把箱子放在这儿吧。
我的自行车被朋友借走了。"
HSK3,词类,介词,引出目的、原因,为了、为2,"为了身体健康，我们应该坚持锻炼。
妈妈经常为了工作睡得很晚。
大家都为我的好成绩感到高兴。
同学们都在为下个星期的考试做准备。"
HSK3,词类,代词,人称代词,别人、咱们,"我不太清楚，你问问别人吧。
别人能学好，我也一定能学好。
咱们明天一起去动物园，怎么样？
要迟到了，咱们快走吧。"
HSK3,词类,代词,指示代词,别的、其他,"除了北京，你还去过别的城市吗？
我喜欢学习别的国家的语言和文化。
其他同学都回国了，只有我还在中国。
除了看足球比赛，你还有其他爱好吗？"
HSK3,词类,代词,疑问代词,怎样,"怎样才能学好中文呢？
他是怎样一个人？"
HSK3,词类,代词,疑问代词,疑问代词的非疑问用法：不定指用法,"我好像在哪儿见过她。
你先吃点儿什么再走吧。
我下周搬家，想请谁来帮帮忙。
咱们哪天一起去踢足球吧。"
