level_code,tree_kind,depth,parent_content,content,sort_order
HSK6,task,1,,交流、处理日常事务,1
HSK6,task,1,,谈论饮食,2
HSK6,task,1,,谈论交通出行,3
HSK6,task,1,,谈论医疗健康,4
HSK6,task,1,,沟通、交流社区生活情况,5
HSK6,task,1,,交流学习情况,6
HSK6,task,1,,谈论校园生活,7
HSK6,task,1,,谈论教育事件、教育理念,8
HSK6,task,1,,谈论工作内容和职业定位,9
HSK6,task,1,,谈论经营与管理情况,10
HSK6,task,1,,谈论地理、气候与自然资源,11
HSK6,task,1,,谈论环境问题,12
HSK6,task,1,,介绍科技产品,13
HSK6,task,1,,介绍科学知识,14
HSK6,task,1,,谈论经济现象,15
HSK6,task,1,,谈论社会现象,16
HSK6,task,1,,谈论文艺形式、活动、作品,17
HSK6,task,1,,谈论体育项目及赛事,18
HSK6,task,1,,谈论国际活动、中外友好交流事件,19
HSK6,task,1,,介绍中国语言文字,20
HSK6,task,1,,介绍中国古代民俗传统、人文景观,21
HSK6,task,1,,介绍中国传统思想与艺术,22
HSK6,task,1,,介绍中国历史,23
HSK6,task,1,,介绍中国古代科技,24
HSK6,topic,1,,日常生活,1
HSK6,topic,1,,教育情况,2
HSK6,topic,1,,职场生活,3
HSK6,topic,1,,自然与环境,4
HSK6,topic,1,,科学技术,5
HSK6,topic,1,,当代社会,6
HSK6,topic,1,,文化与传统,7
HSK6,topic,2,教育情况,学习情况,1
HSK6,topic,2,日常生活,日常事务,1
HSK6,topic,2,科学技术,科技发展,1
HSK6,topic,2,当代社会,经济现象,1
HSK6,topic,2,职场生活,职业与经历,1
HSK6,topic,2,自然与环境,自然,1
HSK6,topic,2,文化与传统,语言文字,1
HSK6,topic,2,教育情况,校园生活,2
HSK6,topic,2,文化与传统,民俗传统,2
HSK6,topic,2,自然与环境,环境,2
HSK6,topic,2,当代社会,社会现象,2
HSK6,topic,2,科学技术,科学知识,2
HSK6,topic,2,职场生活,经营与管理,2
HSK6,topic,2,日常生活,饮食,2
HSK6,topic,2,日常生活,交通出行,3
HSK6,topic,2,文化与传统,人文景观,3
HSK6,topic,2,教育情况,教育问题,3
HSK6,topic,2,当代社会,文艺,3
HSK6,topic,2,文化与传统,传统思想与艺术,4
HSK6,topic,2,当代社会,体育,4
HSK6,topic,2,日常生活,医疗健康,4
HSK6,topic,2,当代社会,中外交流,5
HSK6,topic,2,文化与传统,历史,5
HSK6,topic,2,日常生活,社区,5
HSK6,topic,2,文化与传统,古代科技,6
HSK6,grammar,1,,语素,1
HSK6,grammar,1,,词类,2
HSK6,grammar,1,,短语,3
HSK6,grammar,1,,固定格式,4
HSK6,grammar,1,,句子成分,5
HSK6,grammar,1,,句子的类型,6
HSK6,grammar,2,词类,代词,1
HSK6,grammar,2,短语,固定短语,1
HSK6,grammar,2,句子的类型,特殊句型,1
HSK6,grammar,2,语素,类前缀,1
HSK6,grammar,2,句子成分,补语,1
HSK6,grammar,2,句子的类型,复句,2
HSK6,grammar,2,语素,类后缀,2
HSK6,grammar,2,词类,量词,2
HSK6,grammar,2,词类,副词,3
HSK6,grammar,2,词类,介词,4
HSK6,grammar,2,词类,连词,5
HSK6,grammar,2,词类,助词,6
HSK6,grammar,3,代词,人称代词,1
HSK6,grammar,3,量词,名量词,1
HSK6,grammar,3,固定短语,四字格,1
HSK6,grammar,3,复句,并列复句,1
HSK6,grammar,3,介词,引出时间、处所,1
HSK6,grammar,3,特殊句型,“把”字句4,1
HSK6,grammar,3,副词,程度副词,1
HSK6,grammar,3,补语,程度补语3,1
HSK6,grammar,3,助词,结构助词,1
HSK6,grammar,3,连词,连接分句或句子,1
HSK6,grammar,3,固定短语,其他,2
HSK6,grammar,3,量词,动量词,2
HSK6,grammar,3,介词,引出对象,2
HSK6,grammar,3,副词,范围副词,2
HSK6,grammar,3,助词,语气助词,2
HSK6,grammar,3,复句,选择复句,2
HSK6,grammar,3,助词,其他助词,3
HSK6,grammar,3,介词,引出目的、原因,3
HSK6,grammar,3,副词,时间副词,3
HSK6,grammar,3,复句,转折复句,3
HSK6,grammar,3,复句,条件复句,4
HSK6,grammar,3,介词,表示排除,4
HSK6,grammar,3,副词,频率副词,4
HSK6,grammar,3,副词,方式副词,5
HSK6,grammar,3,复句,让步复句,5
HSK6,grammar,3,副词,否定副词,6
HSK6,grammar,3,复句,目的复句,6
HSK6,grammar,3,副词,语气副词,7
