level_code,level1_topic,level2_topic,topic_item
HSK6,当代社会,中外交流,友好交流事件
HSK6,当代社会,中外交流,国际活动
HSK6,当代社会,体育,体育名人、体育故事等
HSK6,当代社会,体育,体育赛事
HSK6,当代社会,体育,运动项目
HSK6,当代社会,文艺,创作者及其作品
HSK6,当代社会,文艺,文艺常识
HSK6,当代社会,文艺,文艺形式
HSK6,当代社会,文艺,文艺活动
HSK6,当代社会,社会现象,公益活动
HSK6,当代社会,社会现象,新兴事物
HSK6,当代社会,社会现象,新闻热点
HSK6,当代社会,社会现象,民生发展（社会福利、公共卫生事件、住房保障、养老、婚嫁、生育等)
HSK6,当代社会,社会现象,潮流风气
HSK6,当代社会,经济现象,商贸活动
HSK6,当代社会,经济现象,投资理财
HSK6,当代社会,经济现象,经济发展
HSK6,当代社会,经济现象,财务与消费
HSK6,教育情况,学习情况,学习者
HSK6,教育情况,学习情况,教学情况
HSK6,教育情况,学习情况,课程情况
HSK6,教育情况,教育问题,教育事件、教育理念、教育热点问题
HSK6,教育情况,校园生活,学校情况
HSK6,教育情况,校园生活,校园活动
HSK6,文化与传统,人文景观,名胜古迹、传统民居、建筑等
HSK6,文化与传统,传统思想与艺术,传统审美意象
HSK6,文化与传统,传统思想与艺术,传统艺术
HSK6,文化与传统,传统思想与艺术,哲学思想
HSK6,文化与传统,历史,历史人物、器物与事件
HSK6,文化与传统,历史,朝代概况
HSK6,文化与传统,古代科技,古人科学观念、古代科学家事迹
HSK6,文化与传统,古代科技,古代科技成就
HSK6,文化与传统,民俗传统,传统节日与习俗
HSK6,文化与传统,民俗传统,古代生活
HSK6,文化与传统,民俗传统,民间传说
HSK6,文化与传统,语言文字,古诗词
HSK6,文化与传统,语言文字,成语、俗语、方言等
HSK6,日常生活,交通出行,出行体验
HSK6,日常生活,交通出行,出行攻略
HSK6,日常生活,医疗健康,健康生活
HSK6,日常生活,医疗健康,就医
HSK6,日常生活,日常事务,业务办理
HSK6,日常生活,日常事务,困难求助
HSK6,日常生活,社区,居住情况
HSK6,日常生活,社区,居民生活
HSK6,日常生活,社区,社区服务
HSK6,日常生活,社区,社区管理
HSK6,日常生活,饮食,食品安全
HSK6,日常生活,饮食,餐饮体验
HSK6,科学技术,科学知识,科普工作
HSK6,科学技术,科学知识,科普知识
HSK6,科学技术,科学知识,科研成果
HSK6,科学技术,科技发展,信息科技产品
HSK6,科学技术,科技发展,生活类科技产品
HSK6,职场生活,经营与管理,人员管理
HSK6,职场生活,经营与管理,企业发展
HSK6,职场生活,职业与经历,工作内容
HSK6,职场生活,职业与经历,职场定位
HSK6,自然与环境,环境,基础设施
HSK6,自然与环境,环境,灾害
HSK6,自然与环境,环境,环境保护
HSK6,自然与环境,环境,能源开发
HSK6,自然与环境,自然,动植物
HSK6,自然与环境,自然,地形地貌
HSK6,自然与环境,自然,地理分区
HSK6,自然与环境,自然,自然现象
HSK6,自然与环境,自然,自然规律
HSK6,自然与环境,自然,自然资源
