level_code,source_level_name,entry_type_name,sort_order,word,pinyin,part_of_speech
HSK1,一级,大纲词汇,1,爱,ài,动
HSK1,一级,大纲词汇,2,八,bā,数
HSK1,一级,大纲词汇,3,爸爸,bàba,名
HSK1,一级,大纲词汇,4,吧,ba,助
HSK1,一级,大纲词汇,5,白天,báitiān,名
HSK1,一级,大纲词汇,6,百,bǎi,数
HSK1,一级（四级）,大纲词汇,7,半,bàn,数、（副）
HSK1,一级,大纲词汇,8,包子,bāozi,名
HSK1,一级,大纲词汇,9,杯子,bēizi,名
HSK1,一级,大纲词汇,10,本1,běn,量
HSK1,一级,大纲词汇,11,边,biān,名、后缀
HSK1,一级,大纲词汇,12,病,bìng,名、动
HSK1,一级,大纲词汇,13,不,bù,副
HSK1,一级,大纲词汇,14,不客气,bú kèqi,
HSK1,一级,大纲词汇,15,不要,búyào,副
HSK1,一级,大纲词汇,16,菜,cài,名
HSK1,一级,大纲词汇,17,茶,chá,名
HSK1,一级,大纲词汇,18,唱,chàng,动
HSK1,一级,大纲词汇,19,超市,chāoshì,名
HSK1,一级,大纲词汇,20,车,chē,名
HSK1,一级,大纲词汇,21,吃,chī,动
HSK1,一级,大纲词汇,22,出租车,chūzūchē,名
HSK1,一级,大纲词汇,23,穿,chuān,动
HSK1,一级,大纲词汇,24,打电话,dǎ diànhuà,
HSK1,一级,大纲词汇,25,大,dà,形
HSK1,一级,大纲词汇,26,大家,dàjiā,代
HSK1,一级,大纲词汇,27,大学,dàxué,名
HSK1,一级,大纲词汇,28,大学生,dàxuéshēng,名
HSK1,一级,大纲词汇,29,到,dào,动
HSK1,一级,大纲词汇,30,的,de,助
HSK1,一级,大纲词汇,31,第,dì,前缀
HSK1,一级,大纲词汇,32,弟弟,dìdi,名
HSK1,一级（三级）,大纲词汇,33,点1,diǎn,量、（名）
HSK1,一级,大纲词汇,34,店,diàn,名
HSK1,一级,大纲词汇,35,电话,diànhuà,名
HSK1,一级,大纲词汇,36,电脑,diànnǎo,名
HSK1,一级,大纲词汇,37,电视,diànshì,名
HSK1,一级,大纲词汇,38,电影,diànyǐng,名
HSK1,一级,大纲词汇,39,电影院,diànyǐngyuàn,名
HSK1,一级,大纲词汇,40,东西,dōngxi,名
HSK1,一级,大纲词汇,41,都,dōu,副
HSK1,一级,大纲词汇,42,读,dú,动
HSK1,一级,大纲词汇,43,读书,dúshū,动
HSK1,一级（四级）,大纲词汇,44,对,duì,形、介、（动、量）
HSK1,一级,大纲词汇,45,对不起,duìbuqǐ,动
HSK1,一级（二级）,大纲词汇,46,多,duō,形、动、代、（数、副）
HSK1,一级,大纲词汇,47,多少,duōshao,代
HSK1,一级,大纲词汇,48,儿子,érzi,名
HSK1,一级,大纲词汇,49,二,èr,数
HSK1,一级,大纲词汇,50,饭,fàn,名
HSK1,一级,大纲词汇,51,饭店,fàndiàn,名
HSK1,一级,大纲词汇,52,房间,fángjiān,名
HSK1,一级,大纲词汇,53,非常,fēicháng,副
HSK1,一级,大纲词汇,54,飞机,fēijī,名
HSK1,一级（三级）,大纲词汇,55,分,fēn,量、（动、名）
HSK1,一级,大纲词汇,56,分钟,fēnzhōng,量
HSK1,一级,大纲词汇,57,高兴,gāoxìng,形
HSK1,一级,大纲词汇,58,歌,gē,名
HSK1,一级,大纲词汇,59,哥哥,gēge,名
HSK1,一级,大纲词汇,60,个,gè,量
HSK1,一级（二级）,大纲词汇,61,给,gěi,动、（介）
HSK1,一级,大纲词汇,62,公司,gōngsī,名
HSK1,一级,大纲词汇,63,工作,gōngzuò,动、名
HSK1,一级,大纲词汇,64,狗,gǒu,名
HSK1,一级,大纲词汇,65,贵,guì,形
HSK1,一级,大纲词汇,66,国,guó,名
HSK1,一级,大纲词汇,67,还,hái,副
HSK1,一级,大纲词汇,68,孩子,háizi,名
HSK1,一级,大纲词汇,69,汉语,Hànyǔ,名
HSK1,一级,大纲词汇,70,汉字,Hànzì,名
HSK1,一级（二级）（四级）,大纲词汇,71,好,hǎo,形、（副）、（动）
HSK1,一级,大纲词汇,72,好吃,hǎochī,形
HSK1,一级,大纲词汇,73,好看,hǎokàn,形
HSK1,一级,大纲词汇,74,好听,hǎotīng,形
HSK1,一级,大纲词汇,75,好玩儿,hǎowánr,形
HSK1,一级,大纲词汇,76,号,hào,名、量
HSK1,一级,大纲词汇,77,喝,hē,动
HSK1,一级,大纲词汇,78,和1,hé,介、连
HSK1,一级,大纲词汇,79,很,hěn,副
HSK1,一级,大纲词汇,80,后,hòu,名
HSK1,一级（三级）,大纲词汇,81,回,huí,动、（量）
HSK1,一级,大纲词汇,82,会1,huì,动
HSK1,一级,大纲词汇,83,火车,huǒchē,名
HSK1,一级,大纲词汇,84,鸡蛋,jīdàn,名
HSK1,一级,大纲词汇,85,几,jǐ,代、数
HSK1,一级（三级）,大纲词汇,86,家,jiā,名、量、（后缀）
HSK1,一级,大纲词汇,87,家人,jiārén,名
