level_code,hanzi_type,hanzi_type_name,character
HSK1,1,认读,一
HSK1,1,认读,七
HSK1,1,认读,三
HSK1,1,认读,上
HSK1,1,认读,下
HSK1,1,认读,不
HSK1,1,认读,东
HSK1,1,认读,两
HSK1,1,认读,个
HSK1,1,认读,中
HSK1,1,认读,么
HSK1,1,认读,九
HSK1,1,认读,也
HSK1,1,认读,习
HSK1,1,认读,书
HSK1,1,认读,买
HSK1,1,认读,了
HSK1,1,认读,事
HSK1,1,认读,二
HSK1,1,认读,五
HSK1,1,认读,些
HSK1,1,认读,亮
HSK1,1,认读,人
HSK1,1,认读,什
HSK1,1,认读,今
HSK1,1,认读,他
HSK1,1,认读,以
HSK1,1,认读,们
HSK1,1,认读,件
HSK1,1,认读,休
HSK1,1,认读,会
HSK1,1,认读,住
HSK1,1,认读,作
HSK1,1,认读,你
HSK1,1,认读,便
HSK1,1,认读,候
HSK1,1,认读,做
HSK1,1,认读,儿
HSK1,1,认读,元
HSK1,1,认读,先
HSK1,1,认读,八
HSK1,1,认读,公
HSK1,1,认读,六
HSK1,1,认读,关
HSK1,1,认读,兴
HSK1,1,认读,再
HSK1,1,认读,写
HSK1,1,认读,冷
HSK1,1,认读,几
HSK1,1,认读,出
HSK1,1,认读,分
HSK1,1,认读,到
HSK1,1,认读,前
HSK1,1,认读,包
HSK1,1,认读,医
HSK1,1,认读,十
HSK1,1,认读,千
HSK1,1,认读,午
HSK1,1,认读,半
HSK1,1,认读,卖
HSK1,1,认读,去
HSK1,1,认读,友
HSK1,1,认读,口
HSK1,1,认读,只
HSK1,1,认读,叫
HSK1,1,认读,可
HSK1,1,认读,号
HSK1,1,认读,司
HSK1,1,认读,吃
HSK1,1,认读,同
HSK1,1,认读,名
HSK1,1,认读,后
HSK1,1,认读,吗
HSK1,1,认读,吧
HSK1,1,认读,听
HSK1,1,认读,呢
HSK1,1,认读,和
HSK1,1,认读,哥
HSK1,1,认读,哪
HSK1,1,认读,唱
HSK1,1,认读,商
HSK1,1,认读,喂
HSK1,1,认读,喜
HSK1,1,认读,喝
HSK1,1,认读,四
HSK1,1,认读,回
HSK1,1,认读,国
HSK1,1,认读,在
HSK1,1,认读,坐
HSK1,1,认读,块
HSK1,1,认读,士
HSK1,1,认读,外
HSK1,1,认读,多
HSK1,1,认读,大
HSK1,1,认读,天
HSK1,1,认读,太
HSK1,1,认读,女
HSK1,1,认读,奶
HSK1,1,认读,她
HSK1,1,认读,好
