level_code,level1_topic,level2_topic,topic_item
HSK1,基本信息,个人信息,姓名、国籍、年龄、性别、喜好、习惯等
HSK1,基本信息,个人信息,身份、家庭成员、朋友、技能等
HSK1,基本信息,事件信息,日期、时间、地点、方位、参加者、号码等
HSK1,基本信息,物品信息,物品名称
HSK1,基本信息,物品信息,物品特征
HSK1,基本信息,环境信息,天气
HSK1,基本信息,环境信息,环境特点
HSK1,教育情况,学习情况,学习内容
HSK1,教育情况,学习情况,教育层次
HSK1,教育情况,学习情况,课程信息
HSK1,教育情况,校园生活,学校情况
HSK1,教育情况,校园生活,课后活动
HSK1,文化与传统,饮食文化,中餐
HSK1,文化与传统,饮食文化,传统饮品
HSK1,日常生活,交往,基本礼貌行为
HSK1,日常生活,交往,意愿感受
HSK1,日常生活,交往,简单互动行为
HSK1,日常生活,交通出行,出行安排
HSK1,日常生活,交通出行,出行方式
HSK1,日常生活,交通出行,问路
HSK1,日常生活,休闲,休闲活动
HSK1,日常生活,医疗健康,生病、看病、探病等
HSK1,日常生活,购物,商品价格
HSK1,日常生活,购物,商品名称
HSK1,日常生活,购物,商品选购
HSK1,日常生活,饮食,就餐
HSK1,日常生活,饮食,食物饮品
HSK1,职场生活,工作情况,工作信息
HSK1,职场生活,工作情况,工作评价
HSK1,职场生活,职业,职业种类
